3,,
NAME,STR,
AGE,INT,
WEIGHT,INT,
888aaaaaaaa,21,183
870aaaaaaaa,59,153
613aaaaaaaa,9,100
779aaaaaaaa,12,16
330aaaaaaaa,15,143
891aaaaaaaa,65,116
57aaaaaaaa,74,49
860aaaaaaaa,41,63
282aaaaaaaa,33,20
912aaaaaaaa,35,179
74aaaaaaaa,31,23
835aaaaaaaa,16,13
307aaaaaaaa,9,42
376aaaaaaaa,54,64
901aaaaaaaa,74,190
756aaaaaaaa,13,25
843aaaaaaaa,26,13
297aaaaaaaa,70,60
465aaaaaaaa,28,196
229aaaaaaaa,33,148
671aaaaaaaa,68,198
414aaaaaaaa,52,160
136aaaaaaaa,39,86
426aaaaaaaa,32,108
110aaaaaaaa,5,60
101aaaaaaaa,72,104
756aaaaaaaa,6,148
20aaaaaaaa,11,150
685aaaaaaaa,49,108
920aaaaaaaa,51,50
993aaaaaaaa,31,181
592aaaaaaaa,74,87
950aaaaaaaa,72,78
525aaaaaaaa,27,173
359aaaaaaaa,51,70
641aaaaaaaa,8,199
349aaaaaaaa,46,196
351aaaaaaaa,52,38
243aaaaaaaa,51,82
90aaaaaaaa,54,84
840aaaaaaaa,9,98
558aaaaaaaa,61,86
604aaaaaaaa,35,22
371aaaaaaaa,74,187
80aaaaaaaa,66,23
645aaaaaaaa,39,198
153aaaaaaaa,63,83
993aaaaaaaa,3,35
318aaaaaaaa,9,176
981aaaaaaaa,12,26
519aaaaaaaa,57,60
756aaaaaaaa,73,156
747aaaaaaaa,34,161
355aaaaaaaa,53,95
544aaaaaaaa,5,68
468aaaaaaaa,12,181
815aaaaaaaa,62,138
706aaaaaaaa,44,84
101aaaaaaaa,52,52
686aaaaaaaa,44,40
980aaaaaaaa,74,94
147aaaaaaaa,18,138
506aaaaaaaa,36,83
308aaaaaaaa,71,104
540aaaaaaaa,61,172
750aaaaaaaa,50,104
90aaaaaaaa,59,124
603aaaaaaaa,42,146
926aaaaaaaa,4,35
211aaaaaaaa,14,179
333aaaaaaaa,34,152
661aaaaaaaa,6,84
723aaaaaaaa,32,69
85aaaaaaaa,51,81
828aaaaaaaa,64,115
484aaaaaaaa,62,192
621aaaaaaaa,58,43
453aaaaaaaa,6,36
787aaaaaaaa,3,42
523aaaaaaaa,2,151
859aaaaaaaa,57,124
778aaaaaaaa,53,137
164aaaaaaaa,26,22
745aaaaaaaa,55,180
972aaaaaaaa,71,87
855aaaaaaaa,65,147
88aaaaaaaa,39,165
103aaaaaaaa,15,157
28aaaaaaaa,37,129
989aaaaaaaa,74,2
423aaaaaaaa,16,63
976aaaaaaaa,4,45
336aaaaaaaa,42,107
241aaaaaaaa,25,200
172aaaaaaaa,17,148
916aaaaaaaa,33,31
915aaaaaaaa,29,30
